"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","znYl0 2","w8nwRe"
"https://lh3.googleusercontent.com/a-/ALV-UjUqzrTnP9Hx0kf0GsJ98U3zn-KlbVzzP9RLioLr3ogsjB67SDWpXw=w45-h45-p-rp-mo-ba3-br100","Sawan Vaidya","Local Guide · 22 reviews · 4 photos","","","5 months ago","Meatballs were like  styrofoam. Unhygeinic","","","Like","1","","","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjWo5vjCDeHEwLjnuFbly9pqlGjQUxhj435dT0tp-ExiOewAUOft=w45-h45-p-rp-mo-br100","Aviyan Niraula","3 reviews · 13 photos","","","2 years ago","Not a nice place for eating. Even though affordable and cheap price but the quality of food was below average. The place was also not cleaned and it was unhygenic.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXA8sXlbLbwIBj4z1HNAF11rXso9paS0nKIMD30VJYv_DLVfUpl9g=w45-h45-p-rp-mo-ba2-br100","Dawa Lama","Local Guide · 10 reviews · 15 photos","","","3 years ago","Food was good, but not as expected as shown in youtubes and various other platforms. But not bad you can try once and give judgement.
My judgement is based on the comparison between the food same alike which I eat …","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjXGfxYUg22y3Qllu0JvwjAdY1mZl1jhqNNU3AW_SCk6WBiETS88=w45-h45-p-rp-mo-ba4-br100","Jigmy Lama","Local Guide · 64 reviews · 79 photos","","","3 years ago","Fast and fried food around Damkal chowk is your crave...?? Step in here... Clean place and quick service. Unfortunately, it's a cash only place. I wonder if they have now started Fonepay.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXTm6XboCSLqFyx0sCqKrB00RcA_lczssPK-eZSlvImdcKtyAzYdw=w45-h45-p-rp-mo-ba4-br100","Diwash Malla Thakuri","Local Guide · 83 reviews · 441 photos","","","6 years ago","One of the best local restaurants around Sumeru city hospital. Lots of choices for fast food and quick servicing. On the flip side of being famous, it usually gets crowded with the customers. Good Restaurant to eat while around the Damkalchowk area.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjU0sSfc8cjbwxaVPBrxh6ApM4rj465YeZR-4uWgCE8-Lt2gf7Oe8Q=w45-h45-p-rp-mo-ba6-br100","Kritajna Shrestha","Local Guide · 318 reviews · 3,391 photos","","","6 years ago","Has lots of varieties for stick fast food. Tried chowmein but was not upto the taste. Service was ok though it took bit longer than usual. Not that great place for lunch. Price seem ok and affordable. Not so recommended.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjW1qw9hV-7ec8Y1Ulaje9Y8ETRCR44RC408uTbDYsBm22r8QI4=w45-h45-p-rp-mo-br100","Nabin Pradhan","1 review","","","2 months ago","Worst food quality...","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjUw8OpKcdJ3wgU4-aWUjNw9IvOuYrpTp9cZv2LetnBrjdfI-jk=w45-h45-p-rp-mo-ba2-br100","S3 Technology Pvt. Ltd.","Local Guide · 6 reviews · 9 photos","","","2 years ago","Loved the dishes specially Momo, it's very nice one. Small place but enjoyed it...","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjU_UyOCeDXt-I1hdpp7Aq69gRcC03wZGn-IplZ41xo_BBAr99Mm=w45-h45-p-rp-mo-ba5-br100","Shital Shakya","Local Guide · 111 reviews · 507 photos","","","6 years ago","The best thing about NPP is the sauce. Mix the spicy and the non spicy one and every dull item becomes tasty. Food is good. But the taste seems to be degrading.","","","Like","2","","","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocIQQR9IcJ-u7ewEkINYdtJ0GT0ZKDnJ4BADfkBnxhv72DBJqxU=w45-h45-p-rp-mo-br100","Amardeep Rana Moktan","12 reviews","","","4 years ago","I was there to order food. Saw sausages being made and then served. The sausages fell down on the floor and the lady picked it up and served the same sausages to the customer. Disgusting. They dont even care","","","","","","Like","Share",""
